,CustomerID,Recency,Frequency,Monetary,F_Score,Monetary_log,M_Score,R_Score,客户层级
0,12346.0,326,1,77183.6,1,4.8875250311415135,4,1,高潜力客户
1,12347.0,2,7,4310.000000000001,3,3.6344772711683753,4,4,沉睡用户
2,12348.0,75,4,1797.24,3,3.254606078254399,4,2,常规忠诚客户
3,12349.0,19,1,1757.5500000000002,1,3.244907691448923,4,3,高潜力客户
4,12350.0,310,1,334.40000000000003,1,2.5242662817542536,2,1,高潜力客户
5,12352.0,36,8,2506.0400000000004,3,3.3989880004105304,4,3,常规忠诚客户
6,12353.0,204,1,89.0,1,1.949390055442043,1,1,高潜力客户
7,12354.0,232,1,1079.3999999999999,1,3.0331824177526756,3,1,高潜力客户
8,12355.0,214,1,459.4,1,2.662191000312522,2,1,高潜力客户
9,12356.0,23,3,2811.43,2,3.448927276303846,4,3,高潜力客户
10,12357.0,33,1,6207.67,1,3.792928622450332,4,3,高潜力客户
11,12358.0,2,2,1168.06,2,3.067465155569505,3,4,高潜力客户
12,12359.0,58,4,6310.030000000001,3,3.800031424719001,4,2,常规忠诚客户
13,12360.0,52,3,2662.06,2,3.42521784141593,4,2,高潜力客户
14,12361.0,287,1,189.89999999999998,1,2.278524987606658,1,1,高潜力客户
15,12362.0,3,10,5226.23,4,3.7181885194126596,4,4,至尊VIP
16,12363.0,110,2,552.0,2,2.7419390855968526,2,2,高潜力客户
17,12364.0,8,4,1313.1000000000001,3,3.118297804640175,3,4,沉睡用户
18,12365.0,291,2,641.3799999999999,2,2.8071154200732735,2,1,高潜力客户
19,12367.0,4,1,168.89999999999998,1,2.227629675284121,1,4,高潜力客户
20,12370.0,51,4,3541.94,3,3.549241201250837,4,3,常规忠诚客户
21,12371.0,45,2,1887.96,2,3.275992791010639,4,3,高潜力客户
22,12372.0,72,3,1298.0400000000002,2,3.1132880791010398,3,2,高潜力客户
23,12373.0,311,1,364.6,1,2.56181667623049,2,1,高潜力客户
24,12374.0,25,1,742.93,1,2.8709479016441146,3,3,高潜力客户
25,12375.0,11,2,457.5,2,2.6603911078952427,2,4,高潜力客户
26,12377.0,315,2,1628.12,2,3.2116864139191743,3,1,高潜力客户
27,12378.0,130,1,4008.62,1,3.6029948900291004,4,2,高潜力客户
28,12379.0,82,2,852.24,2,2.930561919109139,3,2,高潜力客户
29,12380.0,22,4,2724.8100000000004,3,3.435336226067652,4,3,常规忠诚客户
30,12381.0,5,5,1845.3100000000004,3,3.2660693376074827,4,4,沉睡用户
31,12383.0,185,5,1850.5600000000002,3,3.267303172970328,4,1,常规忠诚客户
32,12384.0,29,2,585.2700000000001,2,2.767356270867636,2,3,高潜力客户
33,12386.0,338,2,401.9,2,2.604118016998068,2,1,高潜力客户
34,12388.0,16,6,2780.6600000000003,3,3.4441478911268577,4,4,沉睡用户
35,12390.0,80,1,549.84,1,2.7402363387995647,2,2,高潜力客户
36,12391.0,22,1,439.66,1,2.643116965446522,2,3,高潜力客户
37,12393.0,72,4,1582.6000000000001,3,3.199371164135674,3,2,常规忠诚客户
38,12394.0,64,2,1272.48,2,3.1046509685216575,3,2,高潜力客户
39,12395.0,19,12,3018.63,4,3.479809885311133,4,3,至尊VIP
40,12397.0,36,2,2409.9000000000005,2,3.3819990234851938,4,3,高潜力客户
41,12398.0,46,1,1635.6599999999999,1,3.2136930358109876,3,3,高潜力客户
42,12399.0,119,4,1108.65,3,3.0447944652515453,3,2,常规忠诚客户
43,12401.0,303,1,84.3,1,1.9258276261424714,1,1,高潜力客户
44,12402.0,323,1,225.6,1,2.353339114561946,1,1,高潜力客户
45,12403.0,50,1,427.7,1,2.6311392604109956,2,3,高潜力客户
46,12405.0,149,1,1710.3900000000003,1,3.2330951512565735,4,1,高潜力客户
47,12406.0,22,2,3415.3,2,3.533428859398138,4,3,高潜力客户
48,12407.0,50,5,1708.1199999999997,3,3.232518380316572,4,3,常规忠诚客户
49,12408.0,33,5,2888.55,3,3.460679890963125,4,3,常规忠诚客户
50,12409.0,79,3,11072.67,2,4.044252357174275,4,2,高潜力客户
51,12410.0,309,2,693.3299999999999,2,2.8409399985477326,3,1,高潜力客户
52,12412.0,75,3,1226.88,2,3.0888020904017783,3,2,高潜力客户
53,12413.0,67,3,758.1,2,2.8797265023683,3,2,高潜力客户
54,12414.0,217,3,562.41,2,2.7500530418287594,2,1,高潜力客户
55,12415.0,24,21,124914.53,4,5.096612958279217,4,3,至尊VIP
56,12417.0,3,9,3649.1000000000004,4,3.5621857661314174,4,4,至尊VIP
57,12418.0,113,1,668.58,1,2.8251533873979233,3,2,高潜力客户
58,12420.0,64,1,600.3900000000001,1,2.778433457325448,2,2,高潜力客户
59,12421.0,16,4,807.0400000000001,3,2.906895065938294,3,4,沉睡用户
60,12422.0,96,3,803.5599999999998,2,2.9050183154972187,3,2,高潜力客户
61,12423.0,1,8,1859.31,3,3.269351807419854,4,4,沉睡用户
62,12424.0,163,2,1760.9599999999996,2,3.2457494935972995,4,1,高潜力客户
63,12425.0,78,1,777.1999999999999,1,2.8905327975156823,3,2,高潜力客户
64,12426.0,195,1,582.73,1,2.765467384388071,2,1,高潜力客户
65,12427.0,22,3,825.8,2,2.916874883797759,3,3,高潜力客户
66,12428.0,26,9,7956.46,4,3.9007198843102766,4,3,至尊VIP
67,12429.0,9,4,3750.4,3,3.574077591159973,4,4,沉睡用户
68,12430.0,43,1,256.4,1,2.4089180377849417,1,3,高潜力客户
69,12431.0,36,15,6419.950000000001,4,3.8075316463763804,4,3,至尊VIP
70,12432.0,43,5,5059.319999999999,3,3.704092150090867,4,3,常规忠诚客户
71,12433.0,1,7,13375.87,3,4.126322039534682,4,4,沉睡用户
72,12434.0,85,2,806.14,2,2.9064104764077765,3,2,高潜力客户
73,12435.0,80,2,7829.890000000001,2,3.8937556613701307,4,2,高潜力客户
74,12436.0,100,1,509.01000000000005,1,2.706726323093178,2,2,高潜力客户
75,12437.0,2,18,4951.41,4,3.694728890320139,4,4,至尊VIP
76,12438.0,14,2,2906.8500000000004,2,3.4634226232702967,4,4,高潜力客户
77,12441.0,367,1,173.55,1,2.239424643031601,1,1,高潜力客户
78,12442.0,3,1,172.06,1,2.2356799438055655,1,4,高潜力客户
79,12444.0,21,5,5005.46,3,3.6994439960259853,4,3,常规忠诚客户
80,12445.0,22,1,133.4,1,2.1251558621363373,1,3,高潜力客户
81,12446.0,58,1,1002.3100000000001,1,3.001002067648082,3,2,高潜力客户
82,12447.0,243,1,476.49,1,2.6780537997333065,2,1,高潜力客户
83,12448.0,44,1,449.4500000000001,1,2.6526813944263727,2,3,高潜力客户
84,12449.0,22,4,4067.2900000000004,3,3.6093051400102656,4,3,常规忠诚客户
85,12450.0,156,2,197.88,2,2.2964019236395092,1,1,高潜力客户
86,12451.0,11,5,9035.52,3,3.9559531520242044,4,4,沉睡用户
87,12452.0,17,2,430.57,2,2.6340437771245058,2,4,高潜力客户
88,12453.0,134,1,707.0899999999999,1,2.8494747014321877,3,2,高潜力客户
89,12454.0,56,1,3528.34,1,3.5475704294506234,4,2,高潜力客户
90,12455.0,73,6,2466.8599999999997,3,3.3921445047351564,4,2,常规忠诚客户
91,12456.0,44,3,3181.04,2,3.50256913154463,4,3,高潜力客户
92,12457.0,66,7,2363.23,3,3.373505992987614,4,2,常规忠诚客户
93,12458.0,71,2,947.4,2,2.9765333849760047,3,2,高潜力客户
